Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Toxicroak,115/193,Regular,,Confirmed,,,
,Toxicroak,115/193,Reverse holo,,Confirmed,,,
,Rockruff,116/193,Regular,,Confirmed,,,
,Rockruff,116/193,Reverse holo,,Confirmed,,,
,Lycanroc ex,117/193,Regular,,Confirmed,,,
,Passimian,118/193,Regular,,Confirmed,,,
,Passimian,118/193,Reverse holo,,Confirmed,,,
,Falinks,119/193,Regular,,Confirmed,,,
,Falinks,119/193,Reverse holo,,Confirmed,,,
,Nacli,120/193,Regular,,Confirmed,,,
,Nacli,120/193,Reverse holo,,Confirmed,,,
,Nacli,121/193,Regular,,Confirmed,,,
,Nacli,121/193,Reverse holo,,Confirmed,,,
,Naclstack,122/193,Regular,,Confirmed,,,
,Naclstack,122/193,Reverse holo,,Confirmed,,,
,Garganacl,123/193,Regular,,Confirmed,,,
,Garganacl,123/193,Reverse holo,,Confirmed,,,
,Glimmet,124/193,Regular,,Confirmed,,,
,Glimmet,124/193,Reverse holo,,Confirmed,,,
,Glimmet,125/193,Regular,,Confirmed,,,
,Glimmet,125/193,Reverse holo,,Confirmed,,,
,Glimmora,126/193,Regular,,Confirmed,,,
,Glimmora,126/193,Reverse holo,,Confirmed,,,
,Ting-Lu ex,127/193,Regular,,Confirmed,,,
,Paldean Wooper,128/193,Regular,,Confirmed,,,
,Paldean Wooper,128/193,Reverse holo,,Confirmed,,,
,Paldean Wooper,129/193,Regular,,Confirmed,,,
,Paldean Wooper,129/193,Reverse holo,,Confirmed,,,
,Paldean Clodsire ex,130/193,Regular,,Confirmed,,,
,Murkrow,131/193,Regular,,Confirmed,,,
,Murkrow,131/193,Reverse holo,,Confirmed,,,
,Honchkrow,132/193,Regular,,Confirmed,,,
,Honchkrow,132/193,Reverse holo,,Confirmed,,,
,Sneasel,133/193,Regular,,Confirmed,,,
,Sneasel,133/193,Reverse holo,,Confirmed,,,
,Weavile,134/193,Regular,,Confirmed,,,
,Weavile,134/193,Reverse holo,,Confirmed,,,
,Tyranitar,135/193,Regular,,Confirmed,,,
,Tyranitar,135/193,Reverse holo,,Confirmed,,,
,Sableye,136/193,Regular,,Confirmed,,,
,Sableye,136/193,Reverse holo,,Confirmed,,,
,Seviper,137/193,Regular,,Confirmed,,,
,Seviper,137/193,Reverse holo,,Confirmed,,,
,Deino,138/193,Regular,,Confirmed,,,
,Deino,138/193,Reverse holo,,Confirmed,,,
,Zweilous,139/193,Regular,,Confirmed,,,
,Zweilous,139/193,Reverse holo,,Confirmed,,,
,Hydreigon,140/193,Regular,,Confirmed,,,
,Hydreigon,140/193,Reverse holo,,Confirmed,,,
,Maschiff,141/193,Regular,,Confirmed,,,
,Maschiff,141/193,Reverse holo,,Confirmed,,,
,Maschiff,142/193,Regular,,Confirmed,,,
,Maschiff,142/193,Reverse holo,,Confirmed,,,
,Mabosstiff,143/193,Regular,,Confirmed,,,
,Mabosstiff,143/193,Reverse holo,,Confirmed,,,
,Shroodle,144/193,Regular,,Confirmed,,,
,Shroodle,144/193,Reverse holo,,Confirmed,,,
,Shroodle,145/193,Regular,,Confirmed,,,
,Shroodle,145/193,Reverse holo,,Confirmed,,,
,Grafaiai,146/193,Regular,,Confirmed,,,
,Grafaiai,146/193,Reverse holo,,Confirmed,,,
,Bombirdier,147/193,Regular,,Confirmed,,,
,Bombirdier,147/193,Reverse holo,,Confirmed,,,
,Corviknight,148/193,Regular,,Confirmed,,,
,Corviknight,148/193,Reverse holo,,Confirmed,,,
,Cufant,149/193,Regular,,Confirmed,,,
,Cufant,149/193,Reverse holo,,Confirmed,,,
,Copperajah ex,150/193,Regular,,Confirmed,,,
,Orthworm,151/193,Regular,,Confirmed,,,
,Orthworm,151/193,Reverse holo,,Confirmed,,,
,Noibat,152/193,Regular,,Confirmed,,,
,Noibat,152/193,Reverse holo,,Confirmed,,,
,Noivern ex,153/193,Regular,,Confirmed,,,
,Girafarig,154/193,Regular,,Confirmed,,,
,Girafarig,154/193,Reverse holo,,Confirmed,,,
,Farigiraf,155/193,Regular,,Confirmed,,,
,Farigiraf,155/193,Reverse holo,,Confirmed,,,
,Dunsparce,156/193,Regular,,Confirmed,,,
,Dunsparce,156/193,Reverse holo,,Confirmed,,,
,Dudunsparce,157/193,Regular,,Confirmed,,,
,Dudunsparce,157/193,Reverse holo,,Confirmed,,,
,Wingull,158/193,Regular,,Confirmed,,,
,Wingull,158/193,Reverse holo,,Confirmed,,,
,Pelipper,159/193,Regular,,Confirmed,,,
,Pelipper,159/193,Reverse holo,,Confirmed,,,
,Slakoth,160/193,Regular,,Confirmed,,,
,Slakoth,160/193,Reverse holo,,Confirmed,,,
,Vigoroth,161/193,Regular,,Confirmed,,,
,Vigoroth,161/193,Reverse holo,,Confirmed,,,
,Slaking,162/193,Regular,,Confirmed,,,
,Slaking,162/193,Reverse holo,,Confirmed,,,
,Fletchling,163/193,Regular,,Confirmed,,,
,Fletchling,163/193,Reverse holo,,Confirmed,,,
,Rookidee,164/193,Regular,,Confirmed,,,
,Rookidee,164/193,Reverse holo,,Confirmed,,,
,Corvisquire,165/193,Regular,,Confirmed,,,
,Corvisquire,165/193,Reverse holo,,Confirmed,,,
,Tandemaus,166/193,Regular,,Confirmed,,,
,Tandemaus,166/193,Reverse holo,,Confirmed,,,
,Tandemaus,167/193,Regular,,Confirmed,,,
,Tandemaus,167/193,Reverse holo,,Confirmed,,,
,Maushold,168/193,Regular,,Confirmed,,,
,Maushold,168/193,Reverse holo,,Confirmed,,,
,Squawkabilly ex,169/193,Regular,,Confirmed,,,
,Flamigo,170/193,Regular,,Confirmed,,,
,Flamigo,170/193,Reverse holo,,Confirmed,,,
,Artazon,171/193,Regular,,Confirmed,,,
,Artazon,171/193,Reverse holo,,Confirmed,,,
,Boss's Orders,172/193,Regular,,Confirmed,,,
,Boss's Orders,172/193,Reverse holo,,Confirmed,,,
,Bravery Charm,173/193,Regular,,Confirmed,,,
,Bravery Charm,173/193,Reverse holo,,Confirmed,,,
,Calamitous Snowy Mountain,174/193,Regular,,Confirmed,,,
,Calamitous Snowy Mountain,174/193,Reverse holo,,Confirmed,,,
,Calamitous Wasteland,175/193,Regular,,Confirmed,,,
,Calamitous Wasteland,175/193,Reverse holo,,Confirmed,,,
,Choice Belt,176/193,Regular,,Confirmed,,,
,Choice Belt,176/193,Reverse holo,,Confirmed,,,
,Clavell,177/193,Regular,,Confirmed,,,
,Clavell,177/193,Reverse holo,,Confirmed,,,
,Delivery Drone,178/193,Regular,,Confirmed,,,
,Delivery Drone,178/193,Reverse holo,,Confirmed,,,
,Dendra,179/193,Regular,,Confirmed,,,
,Dendra,179/193,Reverse holo,,Confirmed,,,
,Falkner,180/193,Regular,,Confirmed,,,
,Falkner,180/193,Reverse holo,,Confirmed,,,
,Fighting Au Lait,181/193,Regular,,Confirmed,,,
,Fighting Au Lait,181/193,Reverse holo,,Confirmed,,,
,Giacomo,182/193,Regular,,Confirmed,,,
,Giacomo,182/193,Reverse holo,,Confirmed,,,
,Great Ball,183/193,Regular,,Confirmed,,,
,Great Ball,183/193,Reverse holo,,Confirmed,,,
,Grusha,184/193,Regular,,Confirmed,,,
,Grusha,184/193,Reverse holo,,Confirmed,,,
,Iono,185/193,Regular,,Confirmed,,,
,Iono,185/193,Reverse holo,,Confirmed,,,
,Practice Studio,186/193,Regular,,Confirmed,,,
,Practice Studio,186/193,Reverse holo,,Confirmed,,,
,Saguaro,187/193,Regular,,Confirmed,,,
,Saguaro,187/193,Reverse holo,,Confirmed,,,
,Super Rod,188/193,Regular,,Confirmed,,,
,Super Rod,188/193,Reverse holo,,Confirmed,,,
,Superior Energy Retrieval,189/193,Regular,,Confirmed,,,
,Superior Energy Retrieval,189/193,Reverse holo,,Confirmed,,,
,Jet Energy,190/193,Regular,,Confirmed,,,
,Jet Energy,190/193,Reverse holo,,Confirmed,,,
,Luminous Energy,191/193,Regular,,Confirmed,,,
,Luminous Energy,191/193,Reverse holo,,Confirmed,,,
,Reversal Energy,192/193,Regular,,Confirmed,,,
,Reversal Energy,192/193,Reverse holo,,Confirmed,,,
,Therapeutic Energy,193/193,Regular,,Confirmed,,,
,Therapeutic Energy,193/193,Reverse holo,,Confirmed,,,
,Heracross,194/193,Regular,,Confirmed,,,
,Tropius,195/193,Regular,,Confirmed,,,
,Sprigatito,196/193,Regular,,Confirmed,,,
,Floragato,197/193,Regular,,Confirmed,,,
,Bramblin,198/193,Regular,,Confirmed,,,
,Fletchinder,199/193,Regular,,Confirmed,,,
,Pyroar,200/193,Regular,,Confirmed,,,
,Fuecoco,201/193,Regular,,Confirmed,,,
,Crocalor,202/193,Regular,,Confirmed,,,
,Magikarp,203/193,Regular,,Confirmed,,,
,Marill,204/193,Regular,,Confirmed,,,
,Eiscue,205/193,Regular,,Confirmed,,,
,Quaxly,206/193,Regular,,Confirmed,,,
,Quaxwell,207/193,Regular,,Confirmed,,,
,Frigibax,208/193,Regular,,Confirmed,,,
,Arctibax,209/193,Regular,,Confirmed,,,
,Baxcalibur,210/193,Regular,,Confirmed,,,
,Raichu,211/193,Regular,,Confirmed,,,
,Mismagius,212/193,Regular,,Confirmed,,,
,Gothorita,213/193,Regular,,Confirmed,,,
,Sandygast,214/193,Regular,,Confirmed,,,
,Rabsca,215/193,Regular,,Confirmed,,,
,Tinkatink,216/193,Regular,,Confirmed,,,
,Tinkatuff,217/193,Regular,,Confirmed,,,
,Paldean Tauros,218/193,Regular,,Confirmed,,,
,Sudowoodo,219/193,Regular,,Confirmed,,,
,Nacli,220/193,Regular,,Confirmed,,,
,Paldean Wooper,221/193,Regular,,Confirmed,,,
,Tyranitar,222/193,Regular,,Confirmed,,,
,Grafaiai,223/193,Regular,,Confirmed,,,
,Orthworm,224/193,Regular,,Confirmed,,,
,Rookidee,225/193,Regular,,Confirmed,,,
,Maushold,226/193,Regular,,Confirmed,,,
,Flamigo,227/193,Regular,,Confirmed,,,
,Farigiraf,228/193,Regular,,Confirmed,,,
,Dudunsparce,229/193,Regular,,Confirmed,,,
