Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Swablu,152/182,Regular,,Confirmed,,,
,Swablu,152/182,Reverse holo,,Confirmed,,,
,Tandemaus,153/182,Regular,,Confirmed,,,
,Tandemaus,153/182,Reverse holo,,Confirmed,,,
,Tandemaus,154/182,Regular,,Confirmed,,,
,Tandemaus,154/182,Reverse holo,,Confirmed,,,
,Maushold ex,155/182,Regular,,Confirmed,,,
,Bombirdier ex,156/182,Regular,,Confirmed,,,
,Cyclizar,157/182,Regular,,Confirmed,,,
,Cyclizar,157/182,Reverse holo,,Confirmed,,,
,Iron Jugulis,158/182,Regular,,Confirmed,,,
,Iron Jugulis,158/182,Reverse holo,,Confirmed,,,
,Ancient Booster Energy Capsule,159/182,Regular,,Confirmed,,,
,Ancient Booster Energy Capsule,159/182,Reverse holo,,Confirmed,,,
,Counter Catcher,160/182,Regular,,Confirmed,,,
,Counter Catcher,160/182,Reverse holo,,Confirmed,,,
,Cursed Duster,161/182,Regular,,Confirmed,,,
,Cursed Duster,161/182,Reverse holo,,Confirmed,,,
,Defiance Vest,162/182,Regular,,Confirmed,,,
,Defiance Vest,162/182,Reverse holo,,Confirmed,,,
,Earthen Vessel,163/182,Regular,,Confirmed,,,
,Earthen Vessel,163/182,Reverse holo,,Confirmed,,,
,Future Booster Energy Capsule,164/182,Regular,,Confirmed,,,
,Future Booster Energy Capsule,164/182,Reverse holo,,Confirmed,,,
,Larry,165/182,Regular,,Confirmed,,,
,Larry,165/182,Reverse holo,,Confirmed,,,
,Luxurious Cape,166/182,Regular,,Confirmed,,,
,Luxurious Cape,166/182,Reverse holo,,Confirmed,,,
,Mela,167/182,Regular,,Confirmed,,,
,Mela,167/182,Reverse holo,,Confirmed,,,
,Norman,168/182,Regular,,Confirmed,,,
,Norman,168/182,Reverse holo,,Confirmed,,,
,Parasol Lady,169/182,Regular,,Confirmed,,,
,Parasol Lady,169/182,Reverse holo,,Confirmed,,,
,Professor Sada's Vitality,170/182,Regular,,Confirmed,,,
,Professor Sada's Vitality,170/182,Reverse holo,,Confirmed,,,
,Professor Turo's Scenario,171/182,Regular,,Confirmed,,,
,Professor Turo's Scenario,171/182,Reverse holo,,Confirmed,,,
,Rika,172/182,Regular,,Confirmed,,,
,Rika,172/182,Reverse holo,,Confirmed,,,
,Roark,173/182,Regular,,Confirmed,,,
,Roark,173/182,Reverse holo,,Confirmed,,,
,Shauntal,174/182,Regular,,Confirmed,,,
,Shauntal,174/182,Reverse holo,,Confirmed,,,
,Snorlax Doll,175/182,Regular,,Confirmed,,,
,Snorlax Doll,175/182,Reverse holo,,Confirmed,,,
,Technical Machine: Blindside,176/182,Regular,,Confirmed,,,
,Technical Machine: Blindside,176/182,Reverse holo,,Confirmed,,,
,Technical Machine: Devolution,177/182,Regular,,Confirmed,,,
,Technical Machine: Devolution,177/182,Reverse holo,,Confirmed,,,
,Technical Machine: Evolution,178/182,Regular,,Confirmed,,,
,Technical Machine: Evolution,178/182,Reverse holo,,Confirmed,,,
,Technical Machine: Turbo Energize,179/182,Regular,,Confirmed,,,
,Technical Machine: Turbo Energize,179/182,Reverse holo,,Confirmed,,,
,Techno Radar,180/182,Regular,,Confirmed,,,
,Techno Radar,180/182,Reverse holo,,Confirmed,,,
,Tulip,181/182,Regular,,Confirmed,,,
,Tulip,181/182,Reverse holo,,Confirmed,,,
,Medical Energy,182/182,Regular,,Confirmed,,,
,Medical Energy,182/182,Reverse holo,,Confirmed,,,
,Crustle,183/182,Regular,,Confirmed,,,
,Dottler,184/182,Regular,,Confirmed,,,
,Toedscruel,185/182,Regular,,Confirmed,,,
,Magby,186/182,Regular,,Confirmed,,,
,Iron Moth,187/182,Regular,,Confirmed,,,
,Snorunt,188/182,Regular,,Confirmed,,,
,Mantyke,189/182,Regular,,Confirmed,,,
,Vanillish,190/182,Regular,,Confirmed,,,
,Wimpod,191/182,Regular,,Confirmed,,,
,Veluza,192/182,Regular,,Confirmed,,,
,Plusle,193/182,Regular,,Confirmed,,,
,Minun,194/182,Regular,,Confirmed,,,
,Blitzle,195/182,Regular,,Confirmed,,,
,Joltik,196/182,Regular,,Confirmed,,,
,Espathra,197/182,Regular,,Confirmed,,,
,Gimmighoul,198/182,Regular,,Confirmed,,,
,Groudon,199/182,Regular,,Confirmed,,,
,Mienshao,200/182,Regular,,Confirmed,,,
,Minior,201/182,Regular,,Confirmed,,,
,Garganacl,202/182,Regular,,Confirmed,,,
,Slither Wing,203/182,Regular,,Confirmed,,,
,Garbodor,204/182,Regular,,Confirmed,,,
,Yveltal,205/182,Regular,,Confirmed,,,
,Morpeko,206/182,Regular,,Confirmed,,,
,Brute Bonnet,207/182,Regular,,Confirmed,,,
