Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Skarmory,124/191,Regular,,Confirmed,,,
,Skarmory,124/191,Reverse holo,,Confirmed,,,
,Registeel,125/191,Regular,,Confirmed,,,
,Registeel,125/191,Reverse holo,,Confirmed,,,
,Bronzor,126/191,Regular,,Confirmed,,,
,Bronzor,126/191,Reverse holo,,Confirmed,,,
,Bronzong,127/191,Regular,,Confirmed,,,
,Bronzong,127/191,Reverse holo,,Confirmed,,,
,Klefki,128/191,Regular,,Confirmed,,,
,Klefki,128/191,Reverse holo,,Confirmed,,,
,Duraludon,129/191,Regular,,Confirmed,,,
,Duraludon,129/191,Reverse holo,,Confirmed,,,
,Archaludon ex,130/191,Regular,,Confirmed,,,
,Gholdengo,131/191,Regular,,Confirmed,,,
,Gholdengo,131/191,Reverse holo,,Confirmed,,,
,Iron Crown,132/191,Regular,,Confirmed,,,
,Iron Crown,132/191,Reverse holo,,Confirmed,,,
,Alolan Exeggutor ex,133/191,Regular,,Confirmed,,,
,Altaria,134/191,Regular,,Confirmed,,,
,Altaria,134/191,Reverse holo,,Confirmed,,,
,Dialga,135/191,Regular,,Confirmed,,,
,Dialga,135/191,Reverse holo,,Confirmed,,,
,Palkia,136/191,Regular,,Confirmed,,,
,Palkia,136/191,Reverse holo,,Confirmed,,,
,Turtonator,137/191,Regular,,Confirmed,,,
,Turtonator,137/191,Reverse holo,,Confirmed,,,
,Applin,138/191,Regular,,Confirmed,,,
,Applin,138/191,Reverse holo,,Confirmed,,,
,Flapple,139/191,Regular,,Confirmed,,,
,Flapple,139/191,Reverse holo,,Confirmed,,,
,Appletun,140/191,Regular,,Confirmed,,,
,Appletun,140/191,Reverse holo,,Confirmed,,,
,Eternatus,141/191,Regular,,Confirmed,,,
,Eternatus,141/191,Reverse holo,,Confirmed,,,
,Tatsugiri ex,142/191,Regular,,Confirmed,,,
,Eevee,143/191,Regular,,Confirmed,,,
,Eevee,143/191,Reverse holo,,Confirmed,,,
,Snorlax,144/191,Regular,,Confirmed,,,
,Snorlax,144/191,Reverse holo,,Confirmed,,,
,Slakoth,145/191,Regular,,Confirmed,,,
,Slakoth,145/191,Reverse holo,,Confirmed,,,
,Vigoroth,146/191,Regular,,Confirmed,,,
,Vigoroth,146/191,Reverse holo,,Confirmed,,,
,Slaking ex,147/191,Regular,,Confirmed,,,
,Swablu,148/191,Regular,,Confirmed,,,
,Swablu,148/191,Reverse holo,,Confirmed,,,
,Zangoose,149/191,Regular,,Confirmed,,,
,Zangoose,149/191,Reverse holo,,Confirmed,,,
,Kecleon,150/191,Regular,,Confirmed,,,
,Kecleon,150/191,Reverse holo,,Confirmed,,,
,Bouffalant,151/191,Regular,,Confirmed,,,
,Bouffalant,151/191,Reverse holo,,Confirmed,,,
,Rufflet,152/191,Regular,,Confirmed,,,
,Rufflet,152/191,Reverse holo,,Confirmed,,,
,Braviary,153/191,Regular,,Confirmed,,,
,Braviary,153/191,Reverse holo,,Confirmed,,,
,Helioptile,154/191,Regular,,Confirmed,,,
,Helioptile,154/191,Reverse holo,,Confirmed,,,
,Heliolisk,155/191,Regular,,Confirmed,,,
,Heliolisk,155/191,Reverse holo,,Confirmed,,,
,Oranguru,156/191,Regular,,Confirmed,,,
,Oranguru,156/191,Reverse holo,,Confirmed,,,
,Tandemaus,157/191,Regular,,Confirmed,,,
,Tandemaus,157/191,Reverse holo,,Confirmed,,,
,Maushold,158/191,Regular,,Confirmed,,,
,Maushold,158/191,Reverse holo,,Confirmed,,,
,Cyclizar ex,159/191,Regular,,Confirmed,,,
,Flamigo ex,160/191,Regular,,Confirmed,,,
,Terapagos,161/191,Regular,,Confirmed,,,
,Terapagos,161/191,Reverse holo,,Confirmed,,,
,Amulet of Hope,162/191,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Babiri Berry,163/191,Regular,,Confirmed,,,
,Babiri Berry,163/191,Reverse holo,,Confirmed,,,
,Brilliant Blender,164/191,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Call Bell,165/191,Regular,,Confirmed,,,
,Call Bell,165/191,Reverse holo,,Confirmed,,,
,Chill Teaser Toy,166/191,Regular,,Confirmed,,,
,Chill Teaser Toy,166/191,Reverse holo,,Confirmed,,,
,Clemont's Quick Wit,167/191,Regular,,Confirmed,,,
,Clemont's Quick Wit,167/191,Reverse holo,,Confirmed,,,
,Colbur Berry,168/191,Regular,,Confirmed,,,
,Colbur Berry,168/191,Reverse holo,,Confirmed,,,
,Counter Gain,169/191,Regular,,Confirmed,,,
,Counter Gain,169/191,Reverse holo,,Confirmed,,,
,Cyrano,170/191,Regular,,Confirmed,,,
,Cyrano,170/191,Reverse holo,,Confirmed,,,
,Deduction Kit,171/191,Regular,,Confirmed,,,
,Deduction Kit,171/191,Reverse holo,,Confirmed,,,
,Dragon Elixir,172/191,Regular,,Confirmed,,,
,Dragon Elixir,172/191,Reverse holo,,Confirmed,,,
,Drasna,173/191,Regular,,Confirmed,,,
,Drasna,173/191,Reverse holo,,Confirmed,,,
,Drayton,174/191,Regular,,Confirmed,,,
,Drayton,174/191,Reverse holo,,Confirmed,,,
,Dusk Ball,175/191,Regular,,Confirmed,,,
,Dusk Ball,175/191,Reverse holo,,Confirmed,,,
,Energy Search Pro,176/191,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Gravity Mountain,177/191,Regular,,Confirmed,,,
,Gravity Mountain,177/191,Reverse holo,,Confirmed,,,
,Jasmine's Gaze,178/191,Regular,,Confirmed,,,
,Jasmine's Gaze,178/191,Reverse holo,,Confirmed,,,
,Lisia's Appeal,179/191,Regular,,Confirmed,,,
,Lisia's Appeal,179/191,Reverse holo,,Confirmed,,,
,Lively Stadium,180/191,Regular,,Confirmed,,,
,Lively Stadium,180/191,Reverse holo,,Confirmed,,,
,Meddling Memo,181/191,Regular,,Confirmed,,,
,Meddling Memo,181/191,Reverse holo,,Confirmed,,,
,Megaton Blower,182/191,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Miracle Headset,183/191,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Passho Berry,184/191,Regular,,Confirmed,,,
,Passho Berry,184/191,Reverse holo,,Confirmed,,,
,Precious Trolley,185/191,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Scramble Switch,186/191,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Surfer,187/191,Regular,,Confirmed,,,
,Surfer,187/191,Reverse holo,,Confirmed,,,
,Technical Machine: Fluorite,188/191,Regular,,Confirmed,,,
,Technical Machine: Fluorite,188/191,Reverse holo,,Confirmed,,,
,Tera Orb,189/191,Regular,,Confirmed,,,
,Tera Orb,189/191,Reverse holo,,Confirmed,,,
,Tyme,190/191,Regular,,Confirmed,,,
,Tyme,190/191,Reverse holo,,Confirmed,,,
,Enriching Energy,191/191,Regular,ACE SPEC — no reverse holo,Confirmed,,,
,Exeggcute,192/191,Regular,,Confirmed,,,
,Vivillon,193/191,Regular,,Confirmed,,,
,Shiinotic,194/191,Regular,,Confirmed,,,
,Castform Sunny Form,195/191,Regular,,Confirmed,,,
,Larvesta,196/191,Regular,,Confirmed,,,
,Ceruledge,197/191,Regular,,Confirmed,,,
,Feebas,198/191,Regular,,Confirmed,,,
,Spheal,199/191,Regular,,Confirmed,,,
,Bruxish,200/191,Regular,,Confirmed,,,
,Cetitan,201/191,Regular,,Confirmed,,,
,Stunfisk,202/191,Regular,,Confirmed,,,
,Latios,203/191,Regular,,Confirmed,,,
,Mesprit,204/191,Regular,,Confirmed,,,
,Phanpy,205/191,Regular,,Confirmed,,,
,Vibrava,206/191,Regular,,Confirmed,,,
,Clobbopus,207/191,Regular,,Confirmed,,,
,Alolan Dugtrio,208/191,Regular,,Confirmed,,,
,Skarmory,209/191,Regular,,Confirmed,,,
,Flapple,210/191,Regular,,Confirmed,,,
,Appletun,211/191,Regular,,Confirmed,,,
,Slakoth,212/191,Regular,,Confirmed,,,
,Kecleon,213/191,Regular,,Confirmed,,,
,Braviary,214/191,Regular,,Confirmed,,,
