Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Eelektrik,114/086,Regular,,Confirmed,,,
,Eelektross,115/086,Regular,,Confirmed,,,
,Munna,116/086,Regular,,Confirmed,,,
,Musharna,117/086,Regular,,Confirmed,,,
,Solosis,118/086,Regular,,Confirmed,,,
,Duosion,119/086,Regular,,Confirmed,,,
,Elgyem,120/086,Regular,,Confirmed,,,
,Beheeyem,121/086,Regular,,Confirmed,,,
,Golett,122/086,Regular,,Confirmed,,,
,Golurk,123/086,Regular,,Confirmed,,,
,Drilbur,124/086,Regular,,Confirmed,,,
,Timburr,125/086,Regular,,Confirmed,,,
,Gurdurr,126/086,Regular,,Confirmed,,,
,Conkeldurr,127/086,Regular,,Confirmed,,,
,Throh,128/086,Regular,,Confirmed,,,
,Dwebble,129/086,Regular,,Confirmed,,,
,Crustle,130/086,Regular,,Confirmed,,,
,Landorus,131/086,Regular,,Confirmed,,,
,Venipede,132/086,Regular,,Confirmed,,,
,Whirlipede,133/086,Regular,,Confirmed,,,
,Scolipede,134/086,Regular,,Confirmed,,,
,Sandile,135/086,Regular,,Confirmed,,,
,Krokorok,136/086,Regular,,Confirmed,,,
,Krookodile,137/086,Regular,,Confirmed,,,
,Escavalier,138/086,Regular,,Confirmed,,,
,Klink,139/086,Regular,,Confirmed,,,
,Klang,140/086,Regular,,Confirmed,,,
,Klinklang,141/086,Regular,,Confirmed,,,
,Pawniard,142/086,Regular,,Confirmed,,,
,Bisharp,143/086,Regular,,Confirmed,,,
,Cobalion,144/086,Regular,,Confirmed,,,
,Axew,145/086,Regular,,Confirmed,,,
,Fraxure,146/086,Regular,,Confirmed,,,
,Haxorus,147/086,Regular,,Confirmed,,,
,Pidove,148/086,Regular,,Confirmed,,,
,Tranquill,149/086,Regular,,Confirmed,,,
,Unfezant,150/086,Regular,,Confirmed,,,
,Audino,151/086,Regular,,Confirmed,,,
,Minccino,152/086,Regular,,Confirmed,,,
,Cinccino,153/086,Regular,,Confirmed,,,
,Rufflet,154/086,Regular,,Confirmed,,,
,Braviary,155/086,Regular,,Confirmed,,,
,Serperior ex,156/086,Regular,Ultra Rare (full art),Confirmed,,,
,Kyurem ex,157/086,Regular,Ultra Rare (full art),Confirmed,,,
,Zekrom ex,158/086,Regular,Ultra Rare (full art),Confirmed,,,
,Meloetta ex,159/086,Regular,Ultra Rare (full art),Confirmed,,,
,Excadrill ex,160/086,Regular,Ultra Rare (full art),Confirmed,,,
,Genesect ex,161/086,Regular,Ultra Rare (full art),Confirmed,,,
,Fennel,162/086,Regular,Ultra Rare (full art),Confirmed,,,
,N's Plan,163/086,Regular,Ultra Rare (full art),Confirmed,,,
,Serperior ex,164/086,Regular,,Confirmed,,,
,Kyurem ex,165/086,Regular,,Confirmed,,,
,Zekrom ex,166/086,Regular,,Confirmed,,,
,Meloetta ex,167/086,Regular,,Confirmed,,,
,Excadrill ex,168/086,Regular,,Confirmed,,,
,Genesect ex,169/086,Regular,,Confirmed,,,
,N's Plan,170/086,Regular,,Confirmed,,,
,Victini,171/086,Regular,,Confirmed,,,
,Zekrom ex,172/086,Regular,,Confirmed,,,
