Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Miraidon ex,081/198,Regular,,Confirmed,,,
,Drowzee,082/198,Regular,,Confirmed,,,
,Drowzee,082/198,Reverse holo,,Confirmed,,,
,Hypno,083/198,Regular,,Confirmed,,,
,Hypno,083/198,Reverse holo,,Confirmed,,,
,Ralts,084/198,Regular,,Confirmed,,,
,Ralts,084/198,Reverse holo,,Confirmed,,,
,Kirlia,085/198,Regular,,Confirmed,,,
,Kirlia,085/198,Reverse holo,,Confirmed,,,
,Gardevoir ex,086/198,Regular,,Confirmed,,,
,Shuppet,087/198,Regular,,Confirmed,,,
,Shuppet,087/198,Reverse holo,,Confirmed,,,
,Banette ex,088/198,Regular,,Confirmed,,,
,Drifloon,089/198,Regular,,Confirmed,,,
,Drifloon,089/198,Reverse holo,,Confirmed,,,
,Drifblim,090/198,Regular,,Confirmed,,,
,Drifblim,090/198,Reverse holo,,Confirmed,,,
,Flabébé,091/198,Regular,,Confirmed,,,
,Flabébé,091/198,Reverse holo,,Confirmed,,,
,Floette,092/198,Regular,,Confirmed,,,
,Floette,092/198,Reverse holo,,Confirmed,,,
,Florges,093/198,Regular,,Confirmed,,,
,Florges,093/198,Reverse holo,,Confirmed,,,
,Dedenne,094/198,Regular,,Confirmed,,,
,Dedenne,094/198,Reverse holo,,Confirmed,,,
,Dedenne,095/198,Regular,,Confirmed,,,
,Dedenne,095/198,Reverse holo,,Confirmed,,,
,Klefki,096/198,Regular,,Confirmed,,,
,Klefki,096/198,Reverse holo,,Confirmed,,,
,Fidough,097/198,Regular,,Confirmed,,,
,Fidough,097/198,Reverse holo,,Confirmed,,,
,Fidough,098/198,Regular,,Confirmed,,,
,Fidough,098/198,Reverse holo,,Confirmed,,,
,Dachsbun,099/198,Regular,,Confirmed,,,
,Dachsbun,099/198,Reverse holo,,Confirmed,,,
,Flittle,100/198,Regular,,Confirmed,,,
,Flittle,100/198,Reverse holo,,Confirmed,,,
,Flittle,101/198,Regular,,Confirmed,,,
,Flittle,101/198,Reverse holo,,Confirmed,,,
,Flittle,102/198,Regular,,Confirmed,,,
,Flittle,102/198,Reverse holo,,Confirmed,,,
,Espathra,103/198,Regular,,Confirmed,,,
,Espathra,103/198,Reverse holo,,Confirmed,,,
,Greavard,104/198,Regular,,Confirmed,,,
,Greavard,104/198,Reverse holo,,Confirmed,,,
,Greavard,105/198,Regular,,Confirmed,,,
,Greavard,105/198,Reverse holo,,Confirmed,,,
,Houndstone,106/198,Regular,,Confirmed,,,
,Houndstone,106/198,Reverse holo,,Confirmed,,,
,Mankey,107/198,Regular,,Confirmed,,,
,Mankey,107/198,Reverse holo,,Confirmed,,,
,Primeape,108/198,Regular,,Confirmed,,,
,Primeape,108/198,Reverse holo,,Confirmed,,,
,Annihilape,109/198,Regular,,Confirmed,,,
,Annihilape,109/198,Reverse holo,,Confirmed,,,
,Meditite,110/198,Regular,,Confirmed,,,
,Meditite,110/198,Reverse holo,,Confirmed,,,
,Medicham,111/198,Regular,,Confirmed,,,
,Medicham,111/198,Reverse holo,,Confirmed,,,
,Riolu,112/198,Regular,,Confirmed,,,
,Riolu,112/198,Reverse holo,,Confirmed,,,
,Riolu,113/198,Regular,,Confirmed,,,
,Riolu,113/198,Reverse holo,,Confirmed,,,
,Lucario,114/198,Regular,,Confirmed,,,
,Lucario,114/198,Reverse holo,,Confirmed,,,
,Sandile,115/198,Regular,,Confirmed,,,
,Sandile,115/198,Reverse holo,,Confirmed,,,
,Krokorok,116/198,Regular,,Confirmed,,,
,Krokorok,116/198,Reverse holo,,Confirmed,,,
,Krookodile,117/198,Regular,,Confirmed,,,
,Krookodile,117/198,Reverse holo,,Confirmed,,,
,Hawlucha,118/198,Regular,,Confirmed,,,
,Hawlucha,118/198,Reverse holo,,Confirmed,,,
,Silicobra,119/198,Regular,,Confirmed,,,
,Silicobra,119/198,Reverse holo,,Confirmed,,,
,Sandaconda,120/198,Regular,,Confirmed,,,
,Sandaconda,120/198,Reverse holo,,Confirmed,,,
,Stonjourner,121/198,Regular,,Confirmed,,,
,Stonjourner,121/198,Reverse holo,,Confirmed,,,
,Klawf,122/198,Regular,,Confirmed,,,
