Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Skarmory,141/182,Reverse holo,,Confirmed,,,
,Steven's Skarmory,142/182,Regular,,Confirmed,,,
,Steven's Skarmory,142/182,Reverse holo,,Confirmed,,,
,Steven's Beldum,143/182,Regular,,Confirmed,,,
,Steven's Beldum,143/182,Reverse holo,,Confirmed,,,
,Steven's Metang,144/182,Regular,,Confirmed,,,
,Steven's Metang,144/182,Reverse holo,,Confirmed,,,
,Steven's Metagross ex,145/182,Regular,,Confirmed,,,
,Zamazenta,146/182,Regular,,Confirmed,,,
,Zamazenta,146/182,Reverse holo,,Confirmed,,,
,Team Rocket's Rattata,147/182,Regular,,Confirmed,,,
,Team Rocket's Rattata,147/182,Reverse holo,,Confirmed,,,
,Team Rocket's Raticate,148/182,Regular,,Confirmed,,,
,Team Rocket's Raticate,148/182,Reverse holo,,Confirmed,,,
,Team Rocket's Meowth,149/182,Regular,,Confirmed,,,
,Team Rocket's Meowth,149/182,Reverse holo,,Confirmed,,,
,Team Rocket's Persian ex,150/182,Regular,,Confirmed,,,
,Kangaskhan,151/182,Regular,,Confirmed,,,
,Kangaskhan,151/182,Reverse holo,,Confirmed,,,
,Tauros,152/182,Regular,,Confirmed,,,
,Tauros,152/182,Reverse holo,,Confirmed,,,
,Team Rocket's Porygon,153/182,Regular,,Confirmed,,,
,Team Rocket's Porygon,153/182,Reverse holo,,Confirmed,,,
,Team Rocket's Porygon2,154/182,Regular,,Confirmed,,,
,Team Rocket's Porygon2,154/182,Reverse holo,,Confirmed,,,
,Team Rocket's Porygon-Z,155/182,Regular,,Confirmed,,,
,Team Rocket's Porygon-Z,155/182,Reverse holo,,Confirmed,,,
,Taillow,156/182,Regular,,Confirmed,,,
,Taillow,156/182,Reverse holo,,Confirmed,,,
,Swellow,157/182,Regular,,Confirmed,,,
,Swellow,157/182,Reverse holo,,Confirmed,,,
,Arven's Skwovet,158/182,Regular,,Confirmed,,,
,Arven's Skwovet,158/182,Reverse holo,,Confirmed,,,
,Arven's Greedent,159/182,Regular,,Confirmed,,,
,Arven's Greedent,159/182,Reverse holo,,Confirmed,,,
,Squawkabilly,160/182,Regular,,Confirmed,,,
,Squawkabilly,160/182,Reverse holo,,Confirmed,,,
,Arven's Sandwich,161/182,Regular,,Confirmed,,,
,Arven's Sandwich,161/182,Reverse holo,,Confirmed,,,
,Cynthia's Power Weight,162/182,Regular,,Confirmed,,,
,Cynthia's Power Weight,162/182,Reverse holo,,Confirmed,,,
,Emcee's Hype,163/182,Regular,,Confirmed,,,
,Emcee's Hype,163/182,Reverse holo,,Confirmed,,,
,Energy Recycler,164/182,Regular,,Confirmed,,,
,Energy Recycler,164/182,Reverse holo,,Confirmed,,,
,Ethan's Adventure,165/182,Regular,,Confirmed,,,
,Ethan's Adventure,165/182,Reverse holo,,Confirmed,,,
,Granite Cave,166/182,Regular,,Confirmed,,,
,Granite Cave,166/182,Reverse holo,,Confirmed,,,
,Judge,167/182,Regular,,Confirmed,,,
,Judge,167/182,Reverse holo,,Confirmed,,,
,Sacred Ash,168/182,Regular,,Confirmed,,,
,Sacred Ash,168/182,Reverse holo,,Confirmed,,,
,Spikemuth Gym,169/182,Regular,,Confirmed,,,
,Spikemuth Gym,169/182,Reverse holo,,Confirmed,,,
,Team Rocket's Archer,170/182,Regular,,Confirmed,,,
,Team Rocket's Archer,170/182,Reverse holo,,Confirmed,,,
