Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Lickitung,108/165,Regular,,Confirmed,,,
,Lickitung,108/165,Reverse holo,,Confirmed,,,
,Koffing,109/165,Regular,,Confirmed,,,
,Koffing,109/165,Reverse holo,,Confirmed,,,
,Weezing,110/165,Regular,,Confirmed,,,
,Weezing,110/165,Reverse holo,,Confirmed,,,
,Rhyhorn,111/165,Regular,,Confirmed,,,
,Rhyhorn,111/165,Reverse holo,,Confirmed,,,
,Rhydon,112/165,Regular,,Confirmed,,,
,Rhydon,112/165,Reverse holo,,Confirmed,,,
,Chansey,113/165,Regular,,Confirmed,,,
,Chansey,113/165,Reverse holo,,Confirmed,,,
,Tangela,114/165,Regular,,Confirmed,,,
,Tangela,114/165,Reverse holo,,Confirmed,,,
,Kangaskhan ex,115/165,Regular,,Confirmed,,,
,Horsea,116/165,Regular,,Confirmed,,,
,Horsea,116/165,Reverse holo,,Confirmed,,,
,Seadra,117/165,Regular,,Confirmed,,,
,Seadra,117/165,Reverse holo,,Confirmed,,,
,Goldeen,118/165,Regular,,Confirmed,,,
,Goldeen,118/165,Reverse holo,,Confirmed,,,
,Seaking,119/165,Regular,,Confirmed,,,
,Seaking,119/165,Reverse holo,,Confirmed,,,
,Staryu,120/165,Regular,,Confirmed,,,
,Staryu,120/165,Reverse holo,,Confirmed,,,
,Starmie,121/165,Regular,,Confirmed,,,
,Starmie,121/165,Reverse holo,,Confirmed,,,
,Mr. Mime,122/165,Regular,,Confirmed,,,
,Mr. Mime,122/165,Reverse holo,,Confirmed,,,
,Scyther,123/165,Regular,,Confirmed,,,
,Scyther,123/165,Reverse holo,,Confirmed,,,
,Jynx ex,124/165,Regular,,Confirmed,,,
,Electabuzz,125/165,Regular,,Confirmed,,,
,Electabuzz,125/165,Reverse holo,,Confirmed,,,
,Magmar,126/165,Regular,,Confirmed,,,
,Magmar,126/165,Reverse holo,,Confirmed,,,
,Pinsir,127/165,Regular,,Confirmed,,,
,Pinsir,127/165,Reverse holo,,Confirmed,,,
,Tauros,128/165,Regular,,Confirmed,,,
,Tauros,128/165,Reverse holo,,Confirmed,,,
,Magikarp,129/165,Regular,,Confirmed,,,
,Magikarp,129/165,Reverse holo,,Confirmed,,,
,Gyarados,130/165,Regular,,Confirmed,,,
,Gyarados,130/165,Reverse holo,,Confirmed,,,
,Lapras,131/165,Regular,,Confirmed,,,
,Lapras,131/165,Reverse holo,,Confirmed,,,
,Ditto,132/165,Regular,,Confirmed,,,
,Ditto,132/165,Reverse holo,,Confirmed,,,
,Eevee,133/165,Regular,,Confirmed,,,
,Eevee,133/165,Reverse holo,,Confirmed,,,
,Vaporeon,134/165,Regular,,Confirmed,,,
,Vaporeon,134/165,Reverse holo,,Confirmed,,,
,Jolteon,135/165,Regular,,Confirmed,,,
,Jolteon,135/165,Reverse holo,,Confirmed,,,
,Flareon,136/165,Regular,,Confirmed,,,
,Flareon,136/165,Reverse holo,,Confirmed,,,
,Porygon,137/165,Regular,,Confirmed,,,
,Porygon,137/165,Reverse holo,,Confirmed,,,
,Omanyte,138/165,Regular,,Confirmed,,,
,Omanyte,138/165,Reverse holo,,Confirmed,,,
,Omastar,139/165,Regular,,Confirmed,,,
,Omastar,139/165,Reverse holo,,Confirmed,,,
,Kabuto,140/165,Regular,,Confirmed,,,
,Kabuto,140/165,Reverse holo,,Confirmed,,,
,Kabutops,141/165,Regular,,Confirmed,,,
,Kabutops,141/165,Reverse holo,,Confirmed,,,
,Aerodactyl,142/165,Regular,,Confirmed,,,
,Aerodactyl,142/165,Reverse holo,,Confirmed,,,
,Snorlax,143/165,Regular,,Confirmed,,,
,Snorlax,143/165,Reverse holo,,Confirmed,,,
,Articuno,144/165,Regular,,Confirmed,,,
,Articuno,144/165,Reverse holo,,Confirmed,,,
,Zapdos ex,145/165,Regular,,Confirmed,,,
,Moltres,146/165,Regular,,Confirmed,,,
,Moltres,146/165,Reverse holo,,Confirmed,,,
,Dratini,147/165,Regular,,Confirmed,,,
,Dratini,147/165,Reverse holo,,Confirmed,,,
,Dragonair,148/165,Regular,,Confirmed,,,
,Dragonair,148/165,Reverse holo,,Confirmed,,,
,Dragonite,149/165,Regular,,Confirmed,,,
,Dragonite,149/165,Reverse holo,,Confirmed,,,
,Mewtwo,150/165,Regular,,Confirmed,,,
,Mewtwo,150/165,Reverse holo,,Confirmed,,,
,Mew ex,151/165,Regular,,Confirmed,,,
,Antique Dome Fossil,152/165,Regular,,Confirmed,,,
,Antique Dome Fossil,152/165,Reverse holo,,Confirmed,,,
,Antique Helix Fossil,153/165,Regular,,Confirmed,,,
,Antique Helix Fossil,153/165,Reverse holo,,Confirmed,,,
,Antique Old Amber,154/165,Regular,,Confirmed,,,
,Antique Old Amber,154/165,Reverse holo,,Confirmed,,,
,Big Air Balloon,155/165,Regular,,Confirmed,,,
,Big Air Balloon,155/165,Reverse holo,,Confirmed,,,
,Bill's Transfer,156/165,Regular,,Confirmed,,,
,Bill's Transfer,156/165,Reverse holo,,Confirmed,,,
,Cycling Road,157/165,Regular,,Confirmed,,,
,Cycling Road,157/165,Reverse holo,,Confirmed,,,
,Daisy's Help,158/165,Regular,,Confirmed,,,
,Daisy's Help,158/165,Reverse holo,,Confirmed,,,
,Energy Sticker,159/165,Regular,,Confirmed,,,
,Energy Sticker,159/165,Reverse holo,,Confirmed,,,
,Erika's Invitation,160/165,Regular,,Confirmed,,,
,Erika's Invitation,160/165,Reverse holo,,Confirmed,,,
,Giovanni's Charisma,161/165,Regular,,Confirmed,,,
,Giovanni's Charisma,161/165,Reverse holo,,Confirmed,,,
,Grabber,162/165,Regular,,Confirmed,,,
,Grabber,162/165,Reverse holo,,Confirmed,,,
,Leftovers,163/165,Regular,,Confirmed,,,
,Leftovers,163/165,Reverse holo,,Confirmed,,,
,Protective Goggles,164/165,Regular,,Confirmed,,,
,Protective Goggles,164/165,Reverse holo,,Confirmed,,,
,Rigid Band,165/165,Regular,,Confirmed,,,
,Rigid Band,165/165,Reverse holo,,Confirmed,,,
,Bulbasaur,166/165,Regular,,Confirmed,,,
,Ivysaur,167/165,Regular,,Confirmed,,,
,Charmander,168/165,Regular,,Confirmed,,,
,Charmeleon,169/165,Regular,,Confirmed,,,
,Squirtle,170/165,Regular,,Confirmed,,,
,Wartortle,171/165,Regular,,Confirmed,,,
,Caterpie,172/165,Regular,,Confirmed,,,
,Pikachu,173/165,Regular,,Confirmed,,,
,Nidoking,174/165,Regular,,Confirmed,,,
,Psyduck,175/165,Regular,,Confirmed,,,
,Poliwhirl,176/165,Regular,,Confirmed,,,
,Machoke,177/165,Regular,,Confirmed,,,
,Tangela,178/165,Regular,,Confirmed,,,
,Mr. Mime,179/165,Regular,,Confirmed,,,
,Omanyte,180/165,Regular,,Confirmed,,,
,Dragonair,181/165,Regular,,Confirmed,,,
,Venusaur ex,182/165,Regular,Ultra Rare (full art),Confirmed,,,
,Charizard ex,183/165,Regular,Ultra Rare (full art),Confirmed,,,
,Blastoise ex,184/165,Regular,Ultra Rare (full art),Confirmed,,,
,Arbok ex,185/165,Regular,Ultra Rare (full art),Confirmed,,,
,Ninetales ex,186/165,Regular,Ultra Rare (full art),Confirmed,,,
,Wigglytuff ex,187/165,Regular,Ultra Rare (full art),Confirmed,,,
,Alakazam ex,188/165,Regular,Ultra Rare (full art),Confirmed,,,
,Golem ex,189/165,Regular,Ultra Rare (full art),Confirmed,,,
,Kangaskhan ex,190/165,Regular,Ultra Rare (full art),Confirmed,,,
,Jynx ex,191/165,Regular,Ultra Rare (full art),Confirmed,,,
,Zapdos ex,192/165,Regular,Ultra Rare (full art),Confirmed,,,
,Mew ex,193/165,Regular,Ultra Rare (full art),Confirmed,,,
,Bill's Transfer,194/165,Regular,Ultra Rare (full art),Confirmed,,,
,Daisy's Help,195/165,Regular,Ultra Rare (full art),Confirmed,,,
,Erika's Invitation,196/165,Regular,Ultra Rare (full art),Confirmed,,,
,Giovanni's Charisma,197/165,Regular,Ultra Rare (full art),Confirmed,,,
,Venusaur ex,198/165,Regular,,Confirmed,,,
,Charizard ex,199/165,Regular,,Confirmed,,,
,Blastoise ex,200/165,Regular,,Confirmed,,,
,Alakazam ex,201/165,Regular,,Confirmed,,,
,Zapdos ex,202/165,Regular,,Confirmed,,,
,Erika's Invitation,203/165,Regular,,Confirmed,,,
,Giovanni's Charisma,204/165,Regular,,Confirmed,,,
,Mew ex,205/165,Regular,,Confirmed,,,
,Switch,206/165,Regular,,Confirmed,,,
,Basic Psychic Energy,207/165,Regular,,Confirmed,,,
