Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Professor's Research,087/091,Reverse holo,,Confirmed,,,
,Professor's Research,088/091,Regular,,Confirmed,,,
,Professor's Research,088/091,Reverse holo,,Confirmed,,,
,Rare Candy,089/091,Regular,,Confirmed,,,
,Rare Candy,089/091,Reverse holo,,Confirmed,,,
,Technical Machine: Crisis Punch,090/091,Regular,,Confirmed,,,
,Technical Machine: Crisis Punch,090/091,Reverse holo,,Confirmed,,,
,Ultra Ball,091/091,Regular,,Confirmed,,,
,Ultra Ball,091/091,Reverse holo,,Confirmed,,,
,Oddish,092/091,Regular,,Confirmed,,,
,Gloom,093/091,Regular,,Confirmed,,,
,Vileplume,094/091,Regular,,Confirmed,,,
,Scyther,095/091,Regular,,Confirmed,,,
,Hoppip,096/091,Regular,,Confirmed,,,
,Skiploom,097/091,Regular,,Confirmed,,,
,Jumpluff,098/091,Regular,,Confirmed,,,
,Pineco,099/091,Regular,,Confirmed,,,
,Snover,100/091,Regular,,Confirmed,,,
,Abomasnow,101/091,Regular,,Confirmed,,,
,Smoliv,102/091,Regular,,Confirmed,,,
,Dolliv,103/091,Regular,,Confirmed,,,
,Arboliva,104/091,Regular,,Confirmed,,,
,Toedscool,105/091,Regular,,Confirmed,,,
,Capsakid,106/091,Regular,,Confirmed,,,
,Scovillain,107/091,Regular,,Confirmed,,,
,Rellor,108/091,Regular,,Confirmed,,,
,Charmander,109/091,Regular,,Confirmed,,,
,Charmeleon,110/091,Regular,,Confirmed,,,
,Paldean Tauros,111/091,Regular,,Confirmed,,,
,Entei,112/091,Regular,,Confirmed,,,
,Oricorio,113/091,Regular,,Confirmed,,,
,Charcadet,114/091,Regular,,Confirmed,,,
,Armarouge,115/091,Regular,,Confirmed,,,
,Slowpoke,116/091,Regular,,Confirmed,,,
,Slowbro,117/091,Regular,,Confirmed,,,
,Staryu,118/091,Regular,,Confirmed,,,
,Starmie,119/091,Regular,,Confirmed,,,
,Paldean Tauros,120/091,Regular,,Confirmed,,,
,Wiglett,121/091,Regular,,Confirmed,,,
,Wugtrio,122/091,Regular,,Confirmed,,,
,Finizen,123/091,Regular,,Confirmed,,,
,Palafin,124/091,Regular,,Confirmed,,,
,Veluza,125/091,Regular,,Confirmed,,,
,Dondozo,126/091,Regular,,Confirmed,,,
,Tatsugiri,127/091,Regular,,Confirmed,,,
,Frigibax,128/091,Regular,,Confirmed,,,
,Arctibax,129/091,Regular,,Confirmed,,,
,Baxcalibur,130/091,Regular,,Confirmed,,,
,Pikachu,131/091,Regular,,Confirmed,,,
,Raichu,132/091,Regular,,Confirmed,,,
,Voltorb,133/091,Regular,,Confirmed,,,
,Electrode,134/091,Regular,,Confirmed,,,
,Shinx,135/091,Regular,,Confirmed,,,
,Luxio,136/091,Regular,,Confirmed,,,
,Luxray,137/091,Regular,,Confirmed,,,
,Pachirisu,138/091,Regular,,Confirmed,,,
,Thundurus,139/091,Regular,,Confirmed,,,
,Toxel,140/091,Regular,,Confirmed,,,
,Toxtricity,141/091,Regular,,Confirmed,,,
,Pawmi,142/091,Regular,,Confirmed,,,
,Pawmo,143/091,Regular,,Confirmed,,,
,Pawmot,144/091,Regular,,Confirmed,,,
,Wattrel,145/091,Regular,,Confirmed,,,
,Kilowattrel,146/091,Regular,,Confirmed,,,
,Wigglytuff,147/091,Regular,,Confirmed,,,
,Abra,148/091,Regular,,Confirmed,,,
,Kadabra,149/091,Regular,,Confirmed,,,
,Cleffa,150/091,Regular,,Confirmed,,,
,Natu,151/091,Regular,,Confirmed,,,
,Xatu,152/091,Regular,,Confirmed,,,
,Ralts,153/091,Regular,,Confirmed,,,
,Kirlia,154/091,Regular,,Confirmed,,,
,Drifloon,155/091,Regular,,Confirmed,,,
,Drifblim,156/091,Regular,,Confirmed,,,
,Mime Jr.,157/091,Regular,,Confirmed,,,
,Spiritomb,158/091,Regular,,Confirmed,,,
,Klefki,159/091,Regular,,Confirmed,,,
,Mimikyu,160/091,Regular,,Confirmed,,,
,Dachsbun,161/091,Regular,,Confirmed,,,
,Ceruledge,162/091,Regular,,Confirmed,,,
,Rabsca,163/091,Regular,,Confirmed,,,
,Flittle,164/091,Regular,,Confirmed,,,
,Tinkatink,165/091,Regular,,Confirmed,,,
,Tinkatuff,166/091,Regular,,Confirmed,,,
,Tinkaton,167/091,Regular,,Confirmed,,,
,Houndstone,168/091,Regular,,Confirmed,,,
,Mankey,169/091,Regular,,Confirmed,,,
,Primeape,170/091,Regular,,Confirmed,,,
,Annihilape,171/091,Regular,,Confirmed,,,
,Paldean Tauros,172/091,Regular,,Confirmed,,,
,Riolu,173/091,Regular,,Confirmed,,,
,Lucario,174/091,Regular,,Confirmed,,,
,Hawlucha,175/091,Regular,,Confirmed,,,
,Nacli,176/091,Regular,,Confirmed,,,
,Naclstack,177/091,Regular,,Confirmed,,,
,Garganacl,178/091,Regular,,Confirmed,,,
,Glimmet,179/091,Regular,,Confirmed,,,
,Paldean Wooper,180/091,Regular,,Confirmed,,,
,Murkrow,181/091,Regular,,Confirmed,,,
,Sneasel,182/091,Regular,,Confirmed,,,
,Weavile,183/091,Regular,,Confirmed,,,
,Sableye,184/091,Regular,,Confirmed,,,
,Pawniard,185/091,Regular,,Confirmed,,,
,Bisharp,186/091,Regular,,Confirmed,,,
,Kingambit,187/091,Regular,,Confirmed,,,
,Mabosstiff,188/091,Regular,,Confirmed,,,
,Shroodle,189/091,Regular,,Confirmed,,,
,Grafaiai,190/091,Regular,,Confirmed,,,
,Scizor,191/091,Regular,,Confirmed,,,
,Varoom,192/091,Regular,,Confirmed,,,
,Revavroom,193/091,Regular,,Confirmed,,,
,Noibat,194/091,Regular,,Confirmed,,,
,Cyclizar,195/091,Regular,,Confirmed,,,
,Pidgey,196/091,Regular,,Confirmed,,,
,Pidgeotto,197/091,Regular,,Confirmed,,,
,Jigglypuff,198/091,Regular,,Confirmed,,,
,Doduo,199/091,Regular,,Confirmed,,,
,Dodrio,200/091,Regular,,Confirmed,,,
,Ditto,201/091,Regular,,Confirmed,,,
,Snorlax,202/091,Regular,,Confirmed,,,
,Wingull,203/091,Regular,,Confirmed,,,
,Pelipper,204/091,Regular,,Confirmed,,,
,Skwovet,205/091,Regular,,Confirmed,,,
,Greedent,206/091,Regular,,Confirmed,,,
,Lechonk,207/091,Regular,,Confirmed,,,
,Oinkologne,208/091,Regular,,Confirmed,,,
,Tandemaus,209/091,Regular,,Confirmed,,,
,Maushold,210/091,Regular,,Confirmed,,,
,Flamigo,211/091,Regular,,Confirmed,,,
,Forretress ex,212/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Toedscruel ex,213/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Espathra ex,214/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Alakazam ex,215/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Mew ex,216/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Gardevoir ex,217/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Glimmora ex,218/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Paldean Clodsire ex,219/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Noivern ex,220/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Pidgeot ex,221/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Wigglytuff ex,222/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Squawkabilly ex,223/091,Regular,Shiny Ultra Rare,Confirmed,,,
,Wugtrio,224/091,Regular,,Confirmed,,,
,Palafin,225/091,Regular,,Confirmed,,,
,Pawmi,226/091,Regular,,Confirmed,,,
,Clive,227/091,Regular,Ultra Rare (full art),Confirmed,,,
,Judge,228/091,Regular,Ultra Rare (full art),Confirmed,,,
,Nemona,229/091,Regular,Ultra Rare (full art),Confirmed,,,
,Paldean Student,230/091,Regular,Ultra Rare (full art),Confirmed,,,
,Paldean Student,231/091,Regular,Ultra Rare (full art),Confirmed,,,
,Mew ex,232/091,Regular,,Confirmed,,,
,Gardevoir ex,233/091,Regular,,Confirmed,,,
,Charizard ex,234/091,Regular,,Confirmed,,,
,Arven,235/091,Regular,,Confirmed,,,
,Clive,236/091,Regular,,Confirmed,,,
,Iono,237/091,Regular,,Confirmed,,,
,Nemona,238/091,Regular,,Confirmed,,,
,Penny,239/091,Regular,,Confirmed,,,
,Wo-Chien ex,240/091,Regular,,Confirmed,,,
,Chi-Yu ex,241/091,Regular,,Confirmed,,,
,Chien-Pao ex,242/091,Regular,,Confirmed,,,
,Miraidon ex,243/091,Regular,,Confirmed,,,
,Ting-Lu ex,244/091,Regular,,Confirmed,,,
,Koraidon ex,245/091,Regular,,Confirmed,,,
