Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Technical Machine: Evolution,178/182,Regular,,Confirmed,,0,
,Technical Machine: Evolution,178/182,Reverse holo,,Confirmed,,0,
,Technical Machine: Turbo Energize,179/182,Regular,,Confirmed,,0,
,Technical Machine: Turbo Energize,179/182,Reverse holo,,Confirmed,,0,
,Techno Radar,180/182,Regular,,Confirmed,,0,
,Techno Radar,180/182,Reverse holo,,Confirmed,,0,
,Tulip,181/182,Regular,,Confirmed,,0,
,Tulip,181/182,Reverse holo,,Confirmed,,0,
,Medical Energy,182/182,Regular,,Confirmed,,0,
,Medical Energy,182/182,Reverse holo,,Confirmed,,0,
,Crustle,183/182,Regular,,Confirmed,,0,
,Dottler,184/182,Regular,,Confirmed,,0,
,Toedscruel,185/182,Regular,,Confirmed,,0,
,Magby,186/182,Regular,,Confirmed,,0,
,Iron Moth,187/182,Regular,,Confirmed,,0,
,Snorunt,188/182,Regular,,Confirmed,,0,
,Mantyke,189/182,Regular,,Confirmed,,0,
,Vanillish,190/182,Regular,,Confirmed,,0,
,Wimpod,191/182,Regular,,Confirmed,,0,
,Veluza,192/182,Regular,,Confirmed,,0,
,Plusle,193/182,Regular,,Confirmed,,0,
,Minun,194/182,Regular,,Confirmed,,0,
,Blitzle,195/182,Regular,,Confirmed,,0,
,Joltik,196/182,Regular,,Confirmed,,0,
,Espathra,197/182,Regular,,Confirmed,,0,
,Gimmighoul,198/182,Regular,,Confirmed,,0,
,Groudon,199/182,Regular,,Confirmed,,0,
,Mienshao,200/182,Regular,,Confirmed,,0,
,Minior,201/182,Regular,,Confirmed,,0,
,Garganacl,202/182,Regular,,Confirmed,,0,
,Slither Wing,203/182,Regular,,Confirmed,,0,
,Garbodor,204/182,Regular,,Confirmed,,0,
,Yveltal,205/182,Regular,,Confirmed,,0,
,Morpeko,206/182,Regular,,Confirmed,,0,
,Brute Bonnet,207/182,Regular,,Confirmed,,0,
,Steelix,208/182,Regular,,Confirmed,,0,
,Ferrothorn,209/182,Regular,,Confirmed,,0,
,Aegislash,210/182,Regular,,Confirmed,,0,
,Aipom,211/182,Regular,,Confirmed,,0,
,Loudred,212/182,Regular,,Confirmed,,0,
,Swablu,213/182,Regular,,Confirmed,,0,
,Porygon-Z,214/182,Regular,,Confirmed,,0,
,Cyclizar,215/182,Regular,,Confirmed,,0,
,Iron Jugulis,216/182,Regular,,Confirmed,,0,
,Froslass ex,217/182,Regular,,Confirmed,,0,
,Armarouge ex,218/182,Regular,,Confirmed,,0,
,Garchomp ex,219/182,Regular,,Confirmed,,0,
,Tsareena ex,220/182,Regular,,Confirmed,,0,
,Golisopod ex,221/182,Regular,,Confirmed,,0,
,Tapu Koko ex,222/182,Regular,,Confirmed,,0,
,Iron Hands ex,223/182,Regular,,Confirmed,,0,
,Cofagrigus ex,224/182,Regular,,Confirmed,,0,
,Iron Valiant ex,225/182,Regular,,Confirmed,,0,
,Hoopa ex,226/182,Regular,,Confirmed,,0,
,Toxtricity ex,227/182,Regular,,Confirmed,,0,
,Sandy Shocks ex,228/182,Regular,,Confirmed,,0,
,Roaring Moon ex,229/182,Regular,,Confirmed,,0,
,Aegislash ex,230/182,Regular,,Confirmed,,0,
,Gholdengo ex,231/182,Regular,,Confirmed,,0,
,Altaria ex,232/182,Regular,,Confirmed,,0,
,Maushold ex,233/182,Regular,,Confirmed,,0,
,Bombirdier ex,234/182,Regular,,Confirmed,,0,
,Larry,235/182,Regular,,Confirmed,,0,
,Mela,236/182,Regular,,Confirmed,,0,
,Norman,237/182,Regular,,Confirmed,,0,
,Parasol Lady,238/182,Regular,,Confirmed,,0,
,Professor Sada's Vitality,239/182,Regular,,Confirmed,,0,
,Professor Turo's Scenario,240/182,Regular,,Confirmed,,0,
,Rika,241/182,Regular,,Confirmed,,0,
,Roark,242/182,Regular,,Confirmed,,0,
,Shauntal,243/182,Regular,,Confirmed,,0,
,Tulip,244/182,Regular,,Confirmed,,0,
,Garchomp ex,245/182,Regular,,Confirmed,,0,
,Golisopod ex,246/182,Regular,,Confirmed,,0,
,Tapu Koko ex,247/182,Regular,,Confirmed,,0,
,Iron Hands ex,248/182,Regular,,Confirmed,,0,
,Iron Valiant ex,249/182,Regular,,Confirmed,,0,
,Sandy Shocks ex,250/182,Regular,,Confirmed,,0,
,Roaring Moon ex,251/182,Regular,,Confirmed,,0,
,Gholdengo ex,252/182,Regular,,Confirmed,,0,
,Altaria ex,253/182,Regular,,Confirmed,,0,
,Mela,254/182,Regular,,Confirmed,,0,
,Parasol Lady,255/182,Regular,,Confirmed,,0,
,Professor Sada's Vitality,256/182,Regular,,Confirmed,,0,
,Professor Turo's Scenario,257/182,Regular,,Confirmed,,0,
,Rika,258/182,Regular,,Confirmed,,0,
,Tulip,259/182,Regular,,Confirmed,,0,
,Garchomp ex,260/182,Regular,,Confirmed,,0,
,Iron Valiant ex,261/182,Regular,,Confirmed,,0,
,Roaring Moon ex,262/182,Regular,,Confirmed,,0,
