Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Indeedee,093/191,Regular,,Confirmed,,0,
,Indeedee,093/191,Reverse holo,,Confirmed,,0,
,Flittle,094/191,Regular,,Confirmed,,0,
,Flittle,094/191,Reverse holo,,Confirmed,,0,
,Espathra,095/191,Regular,,Confirmed,,0,
,Espathra,095/191,Reverse holo,,Confirmed,,0,
,Flutter Mane,096/191,Regular,,Confirmed,,0,
,Flutter Mane,096/191,Reverse holo,,Confirmed,,0,
,Gimmighoul,097/191,Regular,,Confirmed,,0,
,Gimmighoul,097/191,Reverse holo,,Confirmed,,0,
,Mankey,098/191,Regular,,Confirmed,,0,
,Mankey,098/191,Reverse holo,,Confirmed,,0,
,Primeape,099/191,Regular,,Confirmed,,0,
,Primeape,099/191,Reverse holo,,Confirmed,,0,
,Annihilape,100/191,Regular,,Confirmed,,0,
,Annihilape,100/191,Reverse holo,,Confirmed,,0,
,Paldean Tauros,101/191,Regular,,Confirmed,,0,
,Paldean Tauros,101/191,Reverse holo,,Confirmed,,0,
,Phanpy,102/191,Regular,,Confirmed,,0,
,Phanpy,102/191,Reverse holo,,Confirmed,,0,
,Donphan,103/191,Regular,,Confirmed,,0,
,Donphan,103/191,Reverse holo,,Confirmed,,0,
,Trapinch,104/191,Regular,,Confirmed,,0,
,Trapinch,104/191,Reverse holo,,Confirmed,,0,
,Vibrava,105/191,Regular,,Confirmed,,0,
,Vibrava,105/191,Reverse holo,,Confirmed,,0,
,Flygon ex,106/191,Regular,,Confirmed,,0,
,Gastrodon,107/191,Regular,,Confirmed,,0,
,Gastrodon,107/191,Reverse holo,,Confirmed,,0,
,Drilbur,108/191,Regular,,Confirmed,,0,
,Drilbur,108/191,Reverse holo,,Confirmed,,0,
,Excadrill,109/191,Regular,,Confirmed,,0,
,Excadrill,109/191,Reverse holo,,Confirmed,,0,
,Landorus,110/191,Regular,,Confirmed,,0,
,Landorus,110/191,Reverse holo,,Confirmed,,0,
,Passimian,111/191,Regular,,Confirmed,,0,
,Passimian,111/191,Reverse holo,,Confirmed,,0,
,Clobbopus,112/191,Regular,,Confirmed,,0,
,Clobbopus,112/191,Reverse holo,,Confirmed,,0,
