Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Team Rocket's Ekans,112/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Arbok,113/182,Regular,,Confirmed,,1,
,Team Rocket's Arbok,113/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Nidoran♀,114/182,Regular,,Confirmed,,1,
,Team Rocket's Nidoran♀,114/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Nidorina,115/182,Regular,,Confirmed,,1,
,Team Rocket's Nidorina,115/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Nidoqueen,116/182,Regular,,Confirmed,,1,
,Team Rocket's Nidoqueen,116/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Nidoran♂,117/182,Regular,,Confirmed,,1,
,Team Rocket's Nidoran♂,117/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Nidorino,118/182,Regular,,Confirmed,,1,
,Team Rocket's Nidorino,118/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Nidoking ex,119/182,Regular,,Confirmed,,0,
,Team Rocket's Zubat,120/182,Regular,,Confirmed,,1,
,Team Rocket's Zubat,120/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Golbat,121/182,Regular,,Confirmed,,1,
,Team Rocket's Golbat,121/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Crobat ex,122/182,Regular,,Confirmed,,0,
,Team Rocket's Grimer,123/182,Regular,,Confirmed,,1,
,Team Rocket's Grimer,123/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Muk,124/182,Regular,,Confirmed,,0,
,Team Rocket's Muk,124/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Koffing,125/182,Regular,,Confirmed,,1,
,Team Rocket's Koffing,125/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Weezing,126/182,Regular,,Confirmed,,1,
,Team Rocket's Weezing,126/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Murkrow,127/182,Regular,,Confirmed,,1,
,Team Rocket's Murkrow,127/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Sneasel,128/182,Regular,,Confirmed,,1,
,Team Rocket's Sneasel,128/182,Reverse holo,,Confirmed,,0,
,Cynthia's Spiritomb,129/182,Regular,,Confirmed,,1,
,Cynthia's Spiritomb,129/182,Reverse holo,,Confirmed,,0,
,Marnie's Purrloin,130/182,Regular,,Confirmed,,1,
,Marnie's Purrloin,130/182,Reverse holo,,Confirmed,,0,
,Marnie's Liepard,131/182,Regular,,Confirmed,,1,
,Marnie's Liepard,131/182,Reverse holo,,Confirmed,,0,
,Marnie's Scraggy,132/182,Regular,,Confirmed,,0,
,Marnie's Scraggy,132/182,Reverse holo,,Confirmed,,1,
,Marnie's Scrafty,133/182,Regular,,Confirmed,,1,
,Marnie's Scrafty,133/182,Reverse holo,,Confirmed,,0,
,Marnie's Impidimp,134/182,Regular,,Confirmed,,1,
,Marnie's Impidimp,134/182,Reverse holo,,Confirmed,,0,
,Marnie's Morgrem,135/182,Regular,,Confirmed,,1,
,Marnie's Morgrem,135/182,Reverse holo,,Confirmed,,0,
,Marnie's Grimmsnarl ex,136/182,Regular,,Confirmed,,0,
,Marnie's Morpeko,137/182,Regular,,Confirmed,,1,
,Marnie's Morpeko,137/182,Reverse holo,,Confirmed,,0,
,Arven's Maschiff,138/182,Regular,,Confirmed,,0,
,Arven's Maschiff,138/182,Reverse holo,,Confirmed,,1,
,Arven's Mabosstiff ex,139/182,Regular,,Confirmed,,0,
,Forretress,140/182,Regular,,Confirmed,,0,
,Forretress,140/182,Reverse holo,,Confirmed,,0,
,Skarmory,141/182,Regular,,Confirmed,,1,
,Skarmory,141/182,Reverse holo,,Confirmed,,1,
,Steven's Skarmory,142/182,Regular,,Confirmed,,0,
,Steven's Skarmory,142/182,Reverse holo,,Confirmed,,0,
,Steven's Beldum,143/182,Regular,,Confirmed,,1,
,Steven's Beldum,143/182,Reverse holo,,Confirmed,,1,
,Steven's Metang,144/182,Regular,,Confirmed,,1,
,Steven's Metang,144/182,Reverse holo,,Confirmed,,1,
,Steven's Metagross ex,145/182,Regular,,Confirmed,,1,
,Zamazenta,146/182,Regular,,Confirmed,,1,
,Zamazenta,146/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Rattata,147/182,Regular,,Confirmed,,1,
,Team Rocket's Rattata,147/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Raticate,148/182,Regular,,Confirmed,,0,
,Team Rocket's Raticate,148/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Meowth,149/182,Regular,,Confirmed,,1,
,Team Rocket's Meowth,149/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Persian ex,150/182,Regular,,Confirmed,,0,
,Kangaskhan,151/182,Regular,,Confirmed,,1,
,Kangaskhan,151/182,Reverse holo,,Confirmed,,1,
,Tauros,152/182,Regular,,Confirmed,,1,
,Tauros,152/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Porygon,153/182,Regular,,Confirmed,,0,
,Team Rocket's Porygon,153/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Porygon2,154/182,Regular,,Confirmed,,0,
,Team Rocket's Porygon2,154/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Porygon-Z,155/182,Regular,,Confirmed,,0,
,Team Rocket's Porygon-Z,155/182,Reverse holo,,Confirmed,,0,
,Taillow,156/182,Regular,,Confirmed,,1,
,Taillow,156/182,Reverse holo,,Confirmed,,0,
,Swellow,157/182,Regular,,Confirmed,,1,
,Swellow,157/182,Reverse holo,,Confirmed,,1,
,Arven's Skwovet,158/182,Regular,,Confirmed,,1,
,Arven's Skwovet,158/182,Reverse holo,,Confirmed,,1,
,Arven's Greedent,159/182,Regular,,Confirmed,,1,
,Arven's Greedent,159/182,Reverse holo,,Confirmed,,0,
,Squawkabilly,160/182,Regular,,Confirmed,,0,
,Squawkabilly,160/182,Reverse holo,,Confirmed,,0,
,Arven's Sandwich,161/182,Regular,,Confirmed,,1,
,Arven's Sandwich,161/182,Reverse holo,,Confirmed,,0,
,Cynthia's Power Weight,162/182,Regular,,Confirmed,,1,
,Cynthia's Power Weight,162/182,Reverse holo,,Confirmed,,1,
,Emcee's Hype,163/182,Regular,,Confirmed,,0,
,Emcee's Hype,163/182,Reverse holo,,Confirmed,,0,
,Energy Recycler,164/182,Regular,,Confirmed,,1,
,Energy Recycler,164/182,Reverse holo,,Confirmed,,1,
,Ethan's Adventure,165/182,Regular,,Confirmed,,1,
,Ethan's Adventure,165/182,Reverse holo,,Confirmed,,1,
,Granite Cave,166/182,Regular,,Confirmed,,1,
,Granite Cave,166/182,Reverse holo,,Confirmed,,0,
,Judge,167/182,Regular,,Confirmed,,0,
,Judge,167/182,Reverse holo,,Confirmed,,1,
,Sacred Ash,168/182,Regular,,Confirmed,,1,
,Sacred Ash,168/182,Reverse holo,,Confirmed,,0,
,Spikemuth Gym,169/182,Regular,,Confirmed,,0,
,Spikemuth Gym,169/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Archer,170/182,Regular,,Confirmed,,1,
,Team Rocket's Archer,170/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Ariana,171/182,Regular,,Confirmed,,1,
,Team Rocket's Ariana,171/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Bother-Bot,172/182,Regular,,Confirmed,,1,
,Team Rocket's Bother-Bot,172/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Factory,173/182,Regular,,Confirmed,,1,
,Team Rocket's Factory,173/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Giovanni,174/182,Regular,,Confirmed,,1,
,Team Rocket's Giovanni,174/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Great Ball,175/182,Regular,,Confirmed,,1,
,Team Rocket's Great Ball,175/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Petrel,176/182,Regular,,Confirmed,,1,
,Team Rocket's Petrel,176/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Proton,177/182,Regular,,Confirmed,,1,
,Team Rocket's Proton,177/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Transceiver,178/182,Regular,,Confirmed,,1,
,Team Rocket's Transceiver,178/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Venture Bomb,179/182,Regular,,Confirmed,,1,
,Team Rocket's Venture Bomb,179/182,Reverse holo,,Confirmed,,1,
,Team Rocket's Watchtower,180/182,Regular,,Confirmed,,1,
,Team Rocket's Watchtower,180/182,Reverse holo,,Confirmed,,0,
,TM Machine,181/182,Regular,,Confirmed,,1,
,TM Machine,181/182,Reverse holo,,Confirmed,,0,
,Team Rocket's Energy,182/182,Regular,,Confirmed,,0,
,Team Rocket's Energy,182/182,Reverse holo,,Confirmed,,0,
,Yanma,183/182,Regular,,Confirmed,,0,
,Cynthia's Roserade,184/182,Regular,,Confirmed,,1,
,Shaymin,185/182,Regular,,Confirmed,,0,
,Crustle,186/182,Regular,,Confirmed,,0,
,Team Rocket's Spidops,187/182,Regular,,Confirmed,,0,
,Hydrapple,188/182,Regular,,Confirmed,,0,
,Rapidash,189/182,Regular,,Confirmed,,0,
,Ethan's Typhlosion,190/182,Regular,,Confirmed,,0,
,Team Rocket's Houndoom,191/182,Regular,,Confirmed,,0,
,Blaziken,192/182,Regular,,Confirmed,,0,
,Misty's Psyduck,193/182,Regular,,Confirmed,,0,
,Misty's Lapras,194/182,Regular,,Confirmed,,0,
,Clamperl,195/182,Regular,,Confirmed,,0,
,Electrike,196/182,Regular,,Confirmed,,0,
,Rotom,197/182,Regular,,Confirmed,,0,
,Team Rocket's Orbeetle,198/182,Regular,,Confirmed,,0,
,Team Rocket's Weezing,199/182,Regular,,Confirmed,,0,
,Team Rocket's Murkrow,200/182,Regular,,Confirmed,,0,
,Zamazenta,201/182,Regular,,Confirmed,,1,
,Team Rocket's Raticate,202/182,Regular,,Confirmed,,0,
,Team Rocket's Meowth,203/182,Regular,,Confirmed,,1,
,Kangaskhan,204/182,Regular,,Confirmed,,0,
,Arven's Greedent,205/182,Regular,,Confirmed,,0,
,Yanmega ex,206/182,Regular,,Confirmed,,0,
,Arboliva ex,207/182,Regular,,Confirmed,,0,
,Team Rocket's Moltres ex,208/182,Regular,,Confirmed,,1,
,Ethan's Ho-Oh ex,209/182,Regular,,Confirmed,,0,
,Cetitan ex,210/182,Regular,,Confirmed,,0,
,Dondozo ex,211/182,Regular,,Confirmed,,0,
,Electivire ex,212/182,Regular,,Confirmed,,0,
,Team Rocket's Mewtwo ex,213/182,Regular,,Confirmed,,0,
,Regirock ex,214/182,Regular,,Confirmed,,1,
,Cynthia's Garchomp ex,215/182,Regular,,Confirmed,,0,
,Team Rocket's Nidoking ex,216/182,Regular,,Confirmed,,0,
,Team Rocket's Crobat ex,217/182,Regular,,Confirmed,,0,
,Arven's Mabosstiff ex,218/182,Regular,,Confirmed,,0,
,Team Rocket's Persian ex,219/182,Regular,,Confirmed,,1,
,Emcee's Hype,220/182,Regular,,Confirmed,,0,
,Ethan's Adventure,221/182,Regular,,Confirmed,,0,
,Judge,222/182,Regular,,Confirmed,,0,
,Team Rocket's Archer,223/182,Regular,,Confirmed,,0,
