Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Fezandipiti,096/167,Regular,,Confirmed,,0,
,Fezandipiti,096/167,Reverse holo,,Confirmed,,0,
,Sandshrew,097/167,Regular,,Confirmed,,0,
,Sandshrew,097/167,Reverse holo,,Confirmed,,0,
,Sandslash,098/167,Regular,,Confirmed,,0,
,Sandslash,098/167,Reverse holo,,Confirmed,,0,
,Hisuian Growlithe,099/167,Regular,,Confirmed,,0,
,Hisuian Growlithe,099/167,Reverse holo,,Confirmed,,0,
,Hisuian Arcanine,100/167,Regular,,Confirmed,,0,
,Hisuian Arcanine,100/167,Reverse holo,,Confirmed,,0,
,Nosepass,101/167,Regular,,Confirmed,,0,
,Nosepass,101/167,Reverse holo,,Confirmed,,0,
,Probopass,102/167,Regular,,Confirmed,,0,
,Probopass,102/167,Reverse holo,,Confirmed,,0,
,Timburr,103/167,Regular,,Confirmed,,0,
,Timburr,103/167,Reverse holo,,Confirmed,,0,
,Gurdurr,104/167,Regular,,Confirmed,,0,
,Gurdurr,104/167,Reverse holo,,Confirmed,,0,
,Conkeldurr,105/167,Regular,,Confirmed,,0,
,Conkeldurr,105/167,Reverse holo,,Confirmed,,0,
,Greninja ex,106/167,Regular,,Confirmed,,0,
,Hawlucha,107/167,Regular,,Confirmed,,0,
,Hawlucha,107/167,Reverse holo,,Confirmed,,0,
,Glimmet,108/167,Regular,,Confirmed,,0,
,Glimmet,108/167,Reverse holo,,Confirmed,,0,
,Glimmora,109/167,Regular,,Confirmed,,0,
,Glimmora,109/167,Reverse holo,,Confirmed,,0,
,Ting-Lu,110/167,Regular,,Confirmed,,0,
,Ting-Lu,110/167,Reverse holo,,Confirmed,,0,
,Okidogi,111/167,Regular,,Confirmed,,0,
,Okidogi,111/167,Reverse holo,,Confirmed,,0,
,Cornerstone Mask Ogerpon ex,112/167,Regular,,Confirmed,,0,
,Poochyena,113/167,Regular,,Confirmed,,0,
,Poochyena,113/167,Reverse holo,,Confirmed,,0,
,Mightyena,114/167,Regular,,Confirmed,,0,
,Mightyena,114/167,Reverse holo,,Confirmed,,0,
,Venipede,115/167,Regular,,Confirmed,,0,
,Venipede,115/167,Reverse holo,,Confirmed,,0,
,Whirlipede,116/167,Regular,,Confirmed,,0,
,Whirlipede,116/167,Reverse holo,,Confirmed,,0,
,Scolipede,117/167,Regular,,Confirmed,,0,
,Scolipede,117/167,Reverse holo,,Confirmed,,0,
,Brute Bonnet,118/167,Regular,,Confirmed,,0,
,Brute Bonnet,118/167,Reverse holo,,Confirmed,,0,
,Skarmory,119/167,Regular,,Confirmed,,0,
,Skarmory,119/167,Reverse holo,,Confirmed,,0,
,Aron,120/167,Regular,,Confirmed,,0,
,Aron,120/167,Reverse holo,,Confirmed,,0,
,Lairon,121/167,Regular,,Confirmed,,0,
,Lairon,121/167,Reverse holo,,Confirmed,,0,
,Aggron,122/167,Regular,,Confirmed,,0,
,Aggron,122/167,Reverse holo,,Confirmed,,0,
,Heatran,123/167,Regular,,Confirmed,,0,
,Heatran,123/167,Reverse holo,,Confirmed,,0,
,Varoom,124/167,Regular,,Confirmed,,0,
,Varoom,124/167,Reverse holo,,Confirmed,,0,
,Revavroom,125/167,Regular,,Confirmed,,0,
,Revavroom,125/167,Reverse holo,,Confirmed,,0,
,Applin,126/167,Regular,,Confirmed,,0,
,Applin,126/167,Reverse holo,,Confirmed,,0,
,Dipplin,127/167,Regular,,Confirmed,,0,
,Dipplin,127/167,Reverse holo,,Confirmed,,0,
,Dreepy,128/167,Regular,,Confirmed,,0,
